validatorName,validatorAddress,validatorAddressCompact,website,declaredFee,payoutType,payoutSchedule,minPayoutNim,minPayoutKind,notes,sourceUrl,sourceQuote,checkedAt,confidence,observedMinNim,observedP5Nim,observedSampleSize,observedCheckedAt,observedSource
$NIM_pool,NQ29 FBVT B4GM S27H UBP4 1MTC GNKQ VPBT 099M,NQ29FBVTB4GMS27HUBP41MTCGNKQVPBT099M,https://snimpool.com/,0,restake,Every 4 hours,,none,"Website DNS dead. Railway index 2026-08-05: min≈0.0008 NIM, p5≈0.013, ~37% of reward outflows <1 NIM → observed floor consistent with no fixed threshold (Inferred; not operator FAQ).",,,2026-08-05,medium,0.0008,0.0128,47937,2026-08-05,railway:/data/steakout.sqlite reward outflows
AceStaking,NQ97 H1NR S3X0 CVFQ VJ9Y 9A0Y FRQN Q6EU D0PL,NQ97H1NRS3X0CVFQVJ9Y9A0YFRQNQ6EUD0PL,https://acestaking.com,0.039,restake,Every 4 hours,,stake-based,FAQ: min based on stake (dashboard min_payout_luna). Railway: min=0.17 p5≈28.6 (wide tail) matches stake-based.,https://acestaking.com,minimum payout amount is based on your stake,2026-08-05,medium,0.172,28.5626,14519,2026-08-05,railway:/data/steakout.sqlite reward outflows
CHIPMUNK POOL,NQ32 V144 LJDN FJND NLCQ PKBU HTPF KD8G J664,NQ32V144LJDNFJNDNLCQPKBUHTPFKD8GJ664,,0.05,direct,0 */6 * * *,,unknown,"No website. Railway: n=247, 2 recipients, p5≈98 — too few recipients for a policy claim.",,,2026-08-05,low,6.9251,97.68,247,2026-08-05,railway:/data/steakout.sqlite reward outflows
FRENCH NIMIQ VALIDATOR by Ju #1,NQ40 FC4D HAT6 9N1H P52H P4FX QL8P CE6Y 10VT,NQ40FC4DHAT69N1HP52HP4FXQL8PCE6Y10VT,,0.01,restake,,,unknown,No website; stakingrewards profile has no min-payout; not found publicly,,,2026-08-05,low,,,,,
FRENCH NIMIQ VALIDATOR by Ju #2,NQ51 7BS3 0HVH 9R5M TUDH C5PG 490G S7XT KD4D,NQ517BS30HVH9R5MTUDHC5PG490GS7XTKD4D,,0.01,restake,,,unknown,No website; same operator as #1; not found publicly,,,2026-08-05,low,,,,,
Garuda Pool,NQ15 HNAH YRVH DFVM YHAG BSXG 0QHK KA0Q XDR7,NQ15HNAHYRVHDFVMYHAGBSXG0QHKKA0QXDR7,https://garudapool.com,0.03,restake,Every 12 hours,,none,"No FAQ min. Railway 2026-08-05: min≈0.005, p5≈0.032, ~27% of outflows <1 NIM → low/none floor (Inferred).",,,2026-08-05,medium,0.0053,0.0323,13347,2026-08-05,railway:/data/steakout.sqlite reward outflows
ImpactZero stake,NQ08 ACT8 T0FE PTG8 P5RL H2S3 QGXH V15R NVXY,NQ08ACT8T0FEPTG8P5RLH2S3QGXHV15RNVXY,https://nimiq.subimpact.net,0,restake,,,unknown,Website https://nimiq.subimpact.net unreachable; no Wayback; not found publicly,,,2026-08-05,low,,,,,
Keyring Staking,NQ96 X97C 94M1 6MV3 KJ0G JA5U 6VB4 6Y63 EUH4,NQ96X97C94M16MV3KJ0GJA5U6VB46Y63EUH4,https://stake.keyring.so/nimiq,0.05,restake,Every 12 hours,10,fixed,"Site: Minimum Payout 10 NIM. Railway: min≈10.00 p5≈11.04, 0% below 10 — chain confirms.",https://stake.keyring.so/nimiq,Minimum Payout 10 NIM,2026-08-05,high,10.0008,11.0373,4087,2026-08-05,railway:/data/steakout.sqlite reward outflows
Mint Pool,NQ53 M1NT S3JD TAGM CBTK 01PX YD3U B1DE GYHB,NQ53M1NTS3JDTAGMCBTK01PXYD3UB1DEGYHB,https://mintpool.io,0.05,restake,Every 3 hours,,none,"No FAQ min. Railway: min≈0.002 p5≈0.048, ~19% <1 NIM → low/none floor (Inferred).",,,2026-08-05,medium,0.0017,0.0479,53970,2026-08-05,railway:/data/steakout.sqlite reward outflows
Moon Pool,NQ98 D3KE 8EQ8 Y7DK G1MT 3P5T 2PHX 18V5 UEC1,NQ98D3KE8EQ8Y7DKG1MT3P5T2PHX18V5UEC1,,0.049,restake,,1,fixed,"No website/FAQ. Railway 2026-08-05: min≈0.47 p5≈1.06, ~0% below 1 NIM → inferred fixed ~1 NIM floor. Caption as researched/inferred sheet value; live UI also shows observed p5.",chain:reward-outflows,observed p5≈1.06 NIM (Railway index 2026-08-05),2026-08-05,medium,0.4715,1.0639,48788,2026-08-05,railway:/data/steakout.sqlite reward outflows
Nimiq Marketing Pool,NQ08 RS08 LTKL 62QL B954 S9YP 0G3R XVKM RU2Y,NQ08RS08LTKL62QLB954S9YP0G3RXVKMRU2Y,https://www.nimiqpool.es,0,restake,0 * * * *,1,fixed,"FAQ: payouts at 1 NIM. Railway: min≈1.00 p5≈1.09, 0% below 1 — chain confirms.",https://www.nimiqpool.es,payouts only occur when your accumulated rewards reach 1 NIM,2026-08-05,high,1.0003,1.087,17544,2026-08-05,railway:/data/steakout.sqlite reward outflows
Nimiq Surf,NQ51 SURF MCTM AQXM 15PA K9FX 8EEX 29BE VGH8,NQ51SURFMCTMAQXM15PAK9FX8EEX29BEVGH8,,0,unknown,,,not_applicable,Registry payoutType none — no rewards paid,,,2026-08-05,medium,33.2869,491.9,81,2026-08-05,railway:/data/steakout.sqlite reward outflows
Nimiq.Fun,NQ32 1U9X 7P3X B2H5 XA00 5LC2 5KFE VBQE X3BU,NQ321U9X7P3XB2H5XA005LC25KFEVBQEX3BU,https://nimiq.fun,0.025,direct,Every 12 hours,,none,"Site: no minimum threshold. Railway: min≈0.004, ~10% of payments <1 NIM — chain confirms.",https://nimiq.fun,no minimum threshold,2026-08-05,high,0.0037,0.3798,1683,2026-08-05,railway:/data/steakout.sqlite reward outflows
